iter	Passed	Remaining
0	0	85
1	1	73
2	2	67
3	2	61
4	4	79
5	5	87
6	6	82
7	6	78
8	7	74
9	7	71
10	8	68
11	9	66
12	9	64
13	11	67
14	11	67
15	12	67
16	14	68
17	15	68
18	16	69
19	19	76
20	58	220
21	59	211
22	60	203
23	61	195
24	63	189
25	64	182
26	65	176
27	66	172
28	69	170
29	71	166
30	72	161
31	73	156
32	74	152
33	76	148
34	77	143
35	78	139
36	79	135
37	80	131
38	91	143
39	92	138
40	93	133
41	93	128
42	94	124
43	95	121
44	95	117
45	96	113
46	98	110
47	99	107
48	100	104
49	102	102
50	103	99
51	104	96
52	105	93
53	106	90
54	111	91
55	114	90
56	115	87
57	116	84
58	118	82
59	118	79
60	120	76
61	121	74
62	122	71
63	122	69
64	123	66
65	124	64
66	125	61
67	125	59
68	126	56
69	127	54
70	128	52
71	128	50
72	129	47
73	130	45
74	130	43
75	131	41
76	131	39
77	132	37
78	133	35
79	133	33
80	134	31
81	135	29
82	135	27
83	136	26
84	137	24
85	137	22
86	138	20
87	139	18
88	139	17
89	140	15
90	140	13
91	141	12
92	141	10
93	142	9
94	142	7
95	143	5
96	143	4
97	144	2
98	144	1
99	145	0
